cell_i,cell_j,stack_count,thickness_m,cell_area_m2,volume_proxy_m3,status,reason,distance_m,receive_dot,triangle_index,src_x,src_y,src_z,mapped_x,mapped_y,mapped_z
-26,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.205425,0.563376,4777,15.193759,16.631088,0.757407,15.394174,16.646666,0.744627
-25,-39,1,0.003740,0.000174,0.000001,accepted,accepted,0.193736,0.553512,4777,15.193759,16.681124,0.634175,15.382544,16.695797,0.622137
-25,-24,1,0.003740,0.000174,0.000001,accepted,accepted,0.173414,0.280367,8435,15.193759,16.681124,1.250334,15.345419,16.704113,1.322248
-22,-31,1,0.003740,0.000174,0.000001,accepted,accepted,0.202979,0.615064,4777,15.193759,16.831232,0.962793,15.391740,16.846619,0.950169
-22,-19,1,0.003740,0.000174,0.000001,accepted,accepted,0.065860,0.309116,8435,15.193759,16.831232,1.455720,15.249136,16.839626,1.481979
-21,-17,1,0.003740,0.000174,0.000001,accepted,accepted,0.024196,0.321260,8435,15.193759,16.881268,1.537875,15.211839,16.884007,1.546448
-20,-37,2,0.007480,0.000174,0.000001,accepted,accepted,0.186684,0.591398,4777,15.186641,16.931303,0.716330,15.368409,16.945431,0.704739
-20,-26,1,0.003740,0.000174,0.000001,accepted,accepted,0.174338,0.291611,8435,15.193759,16.931303,1.168180,15.346247,16.954416,1.240486
-19,-8,1,0.003740,0.000174,0.000001,accepted,accepted,0.146314,0.370777,8435,15.193759,16.981339,1.907570,15.059196,16.960939,1.843763
-18,-39,1,0.003740,0.000174,0.000001,accepted,accepted,0.166651,0.589432,4777,15.193759,17.031374,0.634175,15.355595,17.043953,0.623856
-18,-34,1,0.003740,0.000174,0.000001,accepted,accepted,0.179683,0.621229,4777,15.193759,17.031374,0.839562,15.368561,17.044960,0.828415
-18,-20,1,0.003740,0.000174,0.000001,accepted,accepted,0.056138,0.322868,8435,15.193759,17.031374,1.414643,15.240433,17.038448,1.436775
-18,-19,1,0.003740,0.000174,0.000001,accepted,accepted,0.038701,0.327167,8435,15.193759,17.031374,1.455720,15.224823,17.036081,1.470451
-17,-40,2,0.007480,0.000174,0.000001,accepted,accepted,0.168457,0.590827,4777,15.186641,17.081409,0.611989,15.350273,17.094128,0.601554
-17,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.167995,0.607185,4777,15.193759,17.081409,0.716330,15.356932,17.094091,0.705925
-16,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.164126,0.612258,4777,15.193759,17.131447,0.716330,15.353082,17.143829,0.706170
-16,-36,3,0.011220,0.000174,0.000002,accepted,accepted,0.180896,0.618920,4777,15.179523,17.131447,0.757407,15.355532,17.145126,0.746184
-16,-35,2,0.007480,0.000174,0.000001,accepted,accepted,0.176420,0.625688,4777,15.186641,17.131447,0.798484,15.358196,17.144781,0.787545
-16,-32,1,0.003740,0.000174,0.000001,accepted,accepted,0.177156,0.646228,4777,15.193759,17.131447,0.921716,15.366047,17.144836,0.910730
-15,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.153636,0.600082,4777,15.193759,17.181482,0.611989,15.342645,17.193054,0.602495
-15,-39,2,0.007480,0.000174,0.000001,accepted,accepted,0.162126,0.603666,4777,15.186641,17.181482,0.634175,15.343974,17.193710,0.624143
-15,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.160256,0.617218,4777,15.193759,17.181482,0.716330,15.349232,17.193565,0.706416
