cell_i,cell_j,stack_count,thickness_m,cell_area_m2,volume_proxy_m3,status,reason,distance_m,receive_dot,receive_threshold_used,triangle_index,used_fallback,src_x,src_y,src_z,target_x,target_y,target_z,normal_x,normal_y,normal_z
-26,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.196198,0.545508,0.150000,4777,False,15.193759,16.631088,0.611989,15.371063,16.644867,0.600682,-0.994985,-0.077330,0.063447
-26,-23,1,0.003740,0.000174,0.000001,accepted,accepted,0.162767,0.279616,0.150000,8435,False,15.193759,16.631088,1.291411,15.323356,16.650732,1.352863,-0.895207,-0.135699,-0.424489
-23,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.188604,0.569507,0.150000,4777,False,15.193759,16.781195,0.675253,15.363507,16.794388,0.664428,-0.994985,-0.077330,0.063447
-22,-25,1,0.003740,0.000174,0.000001,accepted,accepted,0.170481,0.288078,0.150000,8435,False,15.193759,16.831232,1.209257,15.330261,16.851923,1.273983,-0.895207,-0.135699,-0.424489
-21,-28,1,0.003740,0.000174,0.000001,accepted,accepted,0.206928,0.639494,0.150000,4777,False,15.193759,16.881268,1.086025,15.381739,16.895878,1.074038,-0.994985,-0.077330,0.063447
-21,-19,1,0.003740,0.000174,0.000001,accepted,accepted,0.059070,0.313607,0.150000,8435,False,15.193759,16.881268,1.455720,15.230526,16.886841,1.473154,-0.895207,-0.135699,-0.424489
-20,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.179602,0.591405,0.150000,4777,False,15.193759,16.931303,0.716330,15.354550,16.943800,0.706077,-0.994985,-0.077330,0.063447
-19,-31,1,0.003740,0.000174,0.000001,accepted,accepted,0.191370,0.634428,0.150000,4777,False,15.193759,16.981339,0.962793,15.366260,16.994745,0.951794,-0.994985,-0.077330,0.063447
-18,-34,1,0.003740,0.000174,0.000001,accepted,accepted,0.179683,0.621229,0.150000,4777,False,15.193759,17.031374,0.839562,15.354630,17.043877,0.829303,-0.994985,-0.077330,0.063447
-18,-30,1,0.003740,0.000174,0.000001,accepted,accepted,0.190107,0.647310,0.150000,4777,False,15.193759,17.031374,1.003871,15.365003,17.044683,0.992951,-0.994985,-0.077330,0.063447
-18,-25,1,0.003740,0.000174,0.000001,accepted,accepted,0.143322,0.302340,0.150000,8435,False,15.193759,17.031374,1.209257,15.305948,17.048380,1.262455,-0.895207,-0.135699,-0.424489
-17,-30,1,0.003740,0.000174,0.000001,accepted,accepted,0.186239,0.653748,0.150000,4777,False,15.193759,17.081409,1.003871,15.361154,17.094419,0.993197,-0.994985,-0.077330,0.063447
