cell_i,cell_j,stack_count,thickness_m,cell_area_m2,volume_proxy_m3,status,reason,distance_m,receive_dot,triangle_index,src_x,src_y,src_z,mapped_x,mapped_y,mapped_z
-24,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.192474,0.564115,4777,15.193759,16.731159,0.675253,15.381288,16.745735,0.663295
-23,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.184590,0.561074,4777,15.193759,16.781195,0.611989,15.373444,16.795160,0.600531
-22,-39,1,0.003740,0.000174,0.000001,accepted,accepted,0.182129,0.569222,4777,15.193759,16.831232,0.634175,15.370995,16.845007,0.622874
-22,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.187341,0.580532,4777,15.193759,16.831232,0.716330,15.376181,16.845409,0.704698
-21,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.176851,0.571260,4777,15.193759,16.881268,0.611989,15.365744,16.894634,0.601022
-21,-20,1,0.003740,0.000174,0.000001,accepted,accepted,0.076506,0.309838,8435,15.193759,16.881268,1.414643,15.258667,16.891106,1.445422
-20,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.172982,0.576269,4777,15.193759,16.931303,0.611989,15.361894,16.944370,0.601267
-20,-39,1,0.003740,0.000174,0.000001,accepted,accepted,0.174390,0.579463,4777,15.193759,16.931303,0.634175,15.363295,16.944479,0.623365
-19,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.169112,0.581210,4777,15.193759,16.981339,0.611989,15.358044,16.994106,0.601513
-19,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.173127,0.590593,4777,15.193759,16.981339,0.675253,15.362038,16.994417,0.664522
-18,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.165244,0.586072,4777,15.193759,17.031374,0.611989,15.354195,17.043842,0.601758
-18,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.171863,0.602010,4777,15.193759,17.031374,0.716330,15.360781,17.044355,0.705679
-18,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.174471,0.608374,4777,15.193759,17.031374,0.757407,15.363375,17.044558,0.746591
-18,-30,1,0.003740,0.000174,0.000001,accepted,accepted,0.190107,0.647310,4777,15.193759,17.031374,1.003871,15.378933,17.045767,0.992063
-18,-21,1,0.003740,0.000174,0.000001,accepted,accepted,0.073575,0.318632,8435,15.193759,17.031374,1.373566,15.256042,17.040813,1.403100
-17,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.161375,0.590845,4777,15.193759,17.081409,0.611989,15.350345,17.093580,0.602004
-17,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.165388,0.600708,4777,15.193759,17.081409,0.675253,15.354338,17.093889,0.665013
-17,-37,2,0.007480,0.000174,0.000001,accepted,accepted,0.175077,0.607169,4777,15.186641,17.081409,0.716330,15.356860,17.094639,0.705476
-17,-32,1,0.003740,0.000174,0.000001,accepted,accepted,0.181025,0.640276,4777,15.193759,17.081409,0.921716,15.369897,17.095098,0.910484
-16,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.157505,0.595519,4777,15.193759,17.131447,0.611989,15.346495,17.143318,0.602249
-16,-39,1,0.003740,0.000174,0.000001,accepted,accepted,0.158912,0.599044,4777,15.193759,17.131447,0.634175,15.347895,17.143427,0.624347
-16,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.161518,0.605620,4777,15.193759,17.131447,0.675253,15.350488,17.143627,0.665259
-16,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.164126,0.612258,4777,15.193759,17.131447,0.716330,15.353082,17.143829,0.706170
-16,-18,1,0.003740,0.000174,0.000001,accepted,accepted,0.007684,0.340937,8435,15.193759,17.131447,1.496798,15.197057,17.131947,1.498362
-15,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.153636,0.600082,4777,15.193759,17.181482,0.611989,15.342645,17.193054,0.602495
-15,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.160256,0.617218,4777,15.193759,17.181482,0.716330,15.349232,17.193565,0.706416
-15,-35,1,0.003740,0.000174,0.000001,accepted,accepted,0.165468,0.630998,4777,15.193759,17.181482,0.798484,15.354418,17.193970,0.788240
-15,-27,2,0.007480,0.000174,0.000001,accepted,accepted,0.164199,0.304547,8435,15.186641,17.181482,1.127102,15.330051,17.203220,1.195105
-15,-24,1,0.003740,0.000174,0.000001,accepted,accepted,0.105516,0.317159,8435,15.193759,17.181482,1.250334,15.284636,17.195257,1.293426
-15,-23,1,0.003740,0.000174,0.000001,accepted,accepted,0.088079,0.321677,8435,15.193759,17.181482,1.291411,15.269027,17.192890,1.327102
-15,-16,1,0.003740,0.000174,0.000001,accepted,accepted,0.033979,0.355792,8435,15.193759,17.181482,1.578952,15.159760,17.176329,1.562831
-14,-40,1,0.003740,0.000174,0.000001,accepted,accepted,0.149767,0.604524,4777,15.193759,17.231518,0.611989,15.338795,17.242790,0.602740
-14,-34,1,0.003740,0.000174,0.000001,accepted,accepted,0.164205,0.643311,4777,15.193759,17.231518,0.839562,15.353161,17.243906,0.829397
-14,-33,2,0.007480,0.000174,0.000001,accepted,accepted,0.173894,0.650493,4777,15.186641,17.231518,0.880639,15.355683,17.244656,0.869860
-14,-30,1,0.003740,0.000174,0.000001,accepted,accepted,0.174631,0.672389,4777,15.193759,17.231518,1.003871,15.363534,17.244713,0.993045
-13,-40,3,0.011220,0.000174,0.000002,accepted,accepted,0.160062,0.608774,4777,15.179523,17.281553,0.611989,15.334803,17.293621,0.602087
-13,-39,1,0.003740,0.000174,0.000001,accepted,accepted,0.147305,0.612601,4777,15.193759,17.281553,0.634175,15.336346,17.292635,0.625083
-13,-36,1,0.003740,0.000174,0.000001,accepted,accepted,0.155123,0.633932,4777,15.193759,17.281553,0.757407,15.344125,17.293240,0.747819
-13,-31,1,0.003740,0.000174,0.000001,accepted,accepted,0.168155,0.670798,4777,15.193759,17.281553,0.962793,15.357091,17.294249,0.952378
-13,-30,1,0.003740,0.000174,0.000001,accepted,accepted,0.170761,0.678321,4777,15.193759,17.281553,1.003871,15.359684,17.294449,0.993290
-13,-20,1,0.003740,0.000174,0.000001,accepted,accepted,0.022188,0.344129,8435,15.193759,17.281553,1.414643,15.210041,17.284021,1.422364
-13,-18,1,0.003740,0.000174,0.000001,accepted,accepted,0.012685,0.354793,8435,15.193759,17.281553,1.496798,15.178823,17.279289,1.489715
-13,-17,1,0.003740,0.000174,0.000001,accepted,accepted,0.030122,0.360289,8435,15.193759,17.281553,1.537875,15.163213,17.276922,1.523391
-12,-39,3,0.011220,0.000174,0.000002,accepted,accepted,0.157601,0.616778,4777,15.179523,17.331589,0.634175,15.332354,17.343468,0.624430
-12,-38,1,0.003740,0.000174,0.000001,accepted,accepted,0.146042,0.624027,4777,15.193759,17.331589,0.675253,15.335089,17.342573,0.666241
-12,-37,1,0.003740,0.000174,0.000001,accepted,accepted,0.148648,0.631291,4777,15.193759,17.331589,0.716330,15.337682,17.342775,0.707152
-12,-35,2,0.007480,0.000174,0.000001,accepted,accepted,0.160943,0.646022,4777,15.186641,17.331589,0.798484,15.342797,17.343725,0.788527
-12,-31,1,0.003740,0.000174,0.000001,accepted,accepted,0.164286,0.676370,4777,15.193759,17.331589,0.962793,15.353241,17.343985,0.952624
-12,-30,1,0.003740,0.000174,0.000001,accepted,accepted,0.166892,0.684082,4777,15.193759,17.331589,1.003871,15.355834,17.344185,0.993536
-12,-28,1,0.003740,0.000174,0.000001,accepted,accepted,0.154893,0.308537,8435,15.193759,17.331589,1.086025,15.328839,17.352064,1.150078
-12,-26,1,0.003740,0.000174,0.000001,accepted,accepted,0.120020,0.317778,8435,15.193759,17.331589,1.168180,15.297621,17.347332,1.217429
-12,-25,2,0.007480,0.000174,0.000001,accepted,accepted,0.108955,0.323028,8435,15.186641,17.331589,1.209257,15.280597,17.345831,1.253809
-12,-22,1,0.003740,0.000174,0.000001,accepted,accepted,0.050272,0.337592,8435,15.193759,17.331589,1.332489,15.235182,17.337868,1.352131
-12,-17,1,0.003740,0.000174,0.000001,accepted,accepted,0.036912,0.365004,8435,15.193759,17.331589,1.537875,15.157134,17.326036,1.520508
